dr2_source_id,dr2_bp_rp,dist,Seq,RAJ2000,DEJ2000,Prot,V0mag,__B-V_0,o_RVel,RVel,e_RVel,PRV,PPM,Mm,Rot,JP96,dr3_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,Teff_Curtis20
337145041428415360,0.79625034,0.0002472854944865,30,40.39025416666666,42.53944027777777,2.29,11.99,0.51,11,-8.4,0.9,95,99,KM,i,1,337145041429196928,0.04830055,-0.010025024,True,0.010025024,6124.793169797385
337148546121687680,0.8277092,0.0003036170380233,31,40.64337499999999,42.606021944444436,2.36,12.15,0.55,10,-7.0,0.6,93,98,KM,i,1,337148546121687680,0.11133271,-0.0076789856,True,0.0076789856,6032.544148691084
337191392715328128,1.1359129,0.0003290449905886,32,40.49520833333333,42.95836249999999,2.39,15.6,0.83,0,,,0,0,NM,g,1,nan,,,,,5126.462162634528
337152153894211712,0.81387234,0.0002817851107627,33,40.534458333333326,42.64487083333333,2.71,12.9,0.54,3,-7.1,0.2,93,97,KM,i,1,337152153894211712,0.32745528,-0.011427879,True,0.011427879,6073.593177796059
337151604138401024,0.78884315,0.0002419658879848,34,40.45041666666666,42.650928611111105,2.73,12.68,0.53,11,-7.5,0.8,95,99,KM,i,1,337151604139203328,0.1545186,-0.010844231,True,0.010844231,6145.88888373919
337167169099820416,1.0954151,0.0003325700985771,35,40.40299999999999,42.83889388888888,2.8,14.44,0.82,11,-7.6,0.8,95,44,KM,g,1,337167169099820416,0.084964946,-0.00885582,True,0.00885582,5232.99482474993
337193827960470400,0.85995483,0.0003239166827895,36,40.42046249999999,42.91303249999999,2.8,12.96,0.58,9,-8.6,0.5,95,99,KM,i,1,337193827960470400,0.0700882,-0.01199913,True,0.01199913,5934.777342303744
337190190124497536,0.9152031,0.000311540616849,37,40.56254166666666,42.9092711111111,3.1,13.04,0.62,8,-2.4,0.2,7,0,NM,i,1,337190190124497536,0.038370755,-0.016791344,True,0.016791344,5763.921357964842
337179744764027776,1.2173405,0.0003363750374226,38,40.651708333333325,42.90869916666666,3.18,14.73,0.86,11,-7.3,0.5,94,0,KM,g,1,337179744764027776,0.093038015,-0.0066041946,True,0.0066041946,4930.091924389061
337140815180615424,1.3474779,0.0002826843539546,39,40.45316666666666,42.4662436111111,3.39,14.7,0.96,15,-8.3,5.5,95,0,KM,g,0,337140815180615424,0.17665792,0.010585785,True,0.010585785,4664.775009708678
337120508575410816,0.8357811,0.000277294807816,40,40.814249999999994,42.51005166666666,3.54,12.9,0.54,15,-8.5,1.7,95,0,KM,i,0,337120508575410816,0.059134692,-0.009391785,True,0.009391785,6008.313381411474
337098140385752832,1.2942944,0.0002807181748601,41,40.68337916666666,42.44437027777777,3.67,17.59,0.89,0,,,0,0,NM,g,0,337098140385752832,0.093685284,-0.007419586,True,0.007419586,4766.336940906653
337175415437021824,0.91989803,0.0003483018083058,42,40.714504166666664,42.79788194444444,3.67,12.78,0.64,15,-8.2,1.1,95,99,KM,i,1,337175415437021824,0.24138018,-0.0066194534,True,0.0066194534,5749.3685431435415
337167890654357248,0.8792372,0.0003153742715002,43,40.27108333333333,42.78099055555555,3.78,13.29,0.6,8,-7.4,0.2,95,4,KM,i,1,337167890654357248,0.045306817,-0.01824379,True,0.01824379,5875.392163689097
337172460499782912,1.8905277,0.0002917214009635,44,40.741499999999995,42.69614416666666,3.86,16.13,1.36,0,,,0,0,NM,g,1,nan,,,,,3959.724150701697
337166615047692672,0.8662548,0.000321036704823,45,40.35995833333333,42.80359277777777,3.99,13.21,0.59,10,-8.2,0.3,96,98,KM,i,1,337166615047692672,0.07827798,-0.012598991,True,0.012598991,5915.428794517619
337153184686353280,0.9611511,0.0002641412959762,46,40.49850416666666,42.68376527777777,4.19,12.98,0.67,18,-6.5,12.2,87,87,KM,i,1,337153184686353280,0.05861922,-0.015831947,True,0.015831947,5622.254733911308
337174659523012608,0.99605846,0.0003178761169996,47,40.82558333333333,42.77693555555555,4.29,13.76,0.69,16,-8.1,28.3,96,94,KM,i,1,337174659523012608,0.08807531,-0.014149666,True,0.014149666,5516.648857382407
337151840360210688,0.89485073,0.0002629983793082,48,40.41058333333333,42.651084999999995,4.37,13.36,0.63,6,-7.9,0.2,96,95,KM,i,1,337151840360210688,0.077239856,-0.013629913,True,0.013629913,5827.046761751247
337190430642659840,1.068162,0.0003259063183813,49,40.55866666666666,42.92999277777777,4.65,13.89,0.77,10,-7.8,0.4,96,17,KM,i,1,337190430643474944,0.061602972,-0.006290436,True,0.006290436,5307.837127416887
337151707217611520,1.4692326,0.0002619105415445,50,40.45441666666666,42.66646944444444,4.83,15.82,1.11,0,,,0,0,PM,g,0,337151707217611520,0.05930035,-0.022294044,True,0.022294044,4463.00818379649
337099068098492928,1.0077314,0.000272534821157,51,40.596666666666664,42.457901111111106,4.88,14.65,0.68,0,,,0,0,NM,i,0,337099068098492928,0.046668366,-0.03128624,True,0.03128624,5481.903596620753
337165966508978688,1.0007133,0.0003224789190141,52,40.50220833333333,42.81481944444444,4.93,12.65,0.73,18,-17.2,8.3,6,99,NM,i,1,337165966508978688,0.18617633,-0.008570671,True,0.008570671,5502.7552923416
337151638498142720,1.6991844,0.0002405009933582,53,40.465712499999995,42.63969805555555,5.35,16.57,1.28,0,,,0,0,PM,g,0,337151638498142720,0.1106545,-0.010682106,True,0.010682106,4163.889912034419
337194343356541312,0.998539,0.0003421528335216,54,40.406504166666664,42.99428166666666,5.41,13.86,0.72,12,-9.4,0.6,88,3,KM,i,1,337194343356541312,0.090965435,-0.0139455795,True,0.0139455795,5509.238893690279
337192354787975168,0.8923979,0.0003037433583623,56,40.67437083333333,43.01369083333333,5.41,12.89,0.61,13,-0.5,0.4,7,0,NM,i,1,337192354788809728,0.26457414,-0.014074326,True,0.014074326,5834.650562651781
337163698766294784,0.96266556,0.0002585790436016,57,40.389624999999995,42.70315555555555,5.47,13.74,0.7,7,-8.9,0.7,93,5,KM,i,1,337163698766294784,0.052295245,-0.012011528,True,0.012011528,5617.627542918382
